ts,round,wave,agent,x_families,y,model,split,metric,value,coverage,notes
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,seas_naive,train_sample40,winrate_vs_mean,0.325,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,ets,train_sample40,median_norm_mae,1.06007,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,ets,train_sample40,winrate_vs_mean,0.65,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,sarimax100,train_sample40,median_norm_mae,0.999918,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h4,sarimax100,train_sample40,winrate_vs_mean,0.4,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,calendar+inv_due,y1_weekly_net_h4,sarimax100_exog,train_sample40,median_norm_mae,1.0722,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,calendar+inv_due,y1_weekly_net_h4,sarimax100_exog,train_sample40,winrate_vs_mean,0.35,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,last_value,train_sample40,median_norm_mae,1.34443,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,last_value,train_sample40,winrate_vs_mean,0.325,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,hist_mean,train_sample40,median_norm_mae,0.857057,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,hist_mean,train_sample40,winrate_vs_mean,0,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,seas_naive,train_sample40,median_norm_mae,1.10268,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,seas_naive,train_sample40,winrate_vs_mean,0.2,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,ets,train_sample40,median_norm_mae,0.857057,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,ets,train_sample40,winrate_vs_mean,0.55,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=1; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,sarimax100,train_sample40,median_norm_mae,0.868261,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,-,y1_weekly_net_h8,sarimax100,train_sample40,winrate_vs_mean,0.35,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,calendar+inv_due,y1_weekly_net_h8,sarimax100_exog,train_sample40,median_norm_mae,0.920403,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:07,R4,3,2b391abc,calendar+inv_due,y1_weekly_net_h8,sarimax100_exog,train_sample40,winrate_vs_mean,0.35,1.0000,n_eligible=750; n_used=40; inv_due_cos=25; origin=2026-06-29; test=2026-07-06..2026-08-24; drop_stub_2026-08-31; debt_schedule=skipped; prophet=skip; beats_mean_median=0; n_fail=0
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h1,last_value_seas_ok,holdout,mase,0.0769628,0.2837,series=net; mae=3.968e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h1,last_value_seas_ok,holdout,smape,1.2116,0.2837,series=net; mae=3.968e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h1,hist_mean_seas_ok,holdout,mase,0.0641027,0.2837,series=net; mae=3.305e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h1,hist_mean_seas_ok,holdout,smape,1.33694,0.2837,series=net; mae=3.305e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h1,seasonal_naive_12_seas_ok,holdout,mase,0.0933835,0.2837,series=net; mae=4.815e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h1,seasonal_naive_12_seas_ok,holdout,smape,1.39068,0.2837,series=net; mae=4.815e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h3,last_value_seas_ok,holdout,mase,0.0751909,0.3314,series=net; mae=3.877e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h3,last_value_seas_ok,holdout,smape,1.22088,0.3314,series=net; mae=3.877e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h3,hist_mean_seas_ok,holdout,mase,0.0662234,0.3314,series=net; mae=3.415e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h3,hist_mean_seas_ok,holdout,smape,1.35278,0.3314,series=net; mae=3.415e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h3,seasonal_naive_12_seas_ok,holdout,mase,0.0933835,0.3314,series=net; mae=4.815e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_net_h3,seasonal_naive_12_seas_ok,holdout,smape,1.39068,0.3314,series=net; mae=4.815e+05; scale=5.156e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h1,last_value_seas_ok,holdout,mase,0.206027,0.2837,series=op_in; mae=1.321e+06; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h1,last_value_seas_ok,holdout,smape,0.683427,0.2837,series=op_in; mae=1.321e+06; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h1,hist_mean_seas_ok,holdout,mase,0.133043,0.2837,series=op_in; mae=8.532e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h1,hist_mean_seas_ok,holdout,smape,0.874079,0.2837,series=op_in; mae=8.532e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h1,seasonal_naive_12_seas_ok,holdout,mase,0.151003,0.2837,series=op_in; mae=9.684e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h1,seasonal_naive_12_seas_ok,holdout,smape,0.952675,0.2837,series=op_in; mae=9.684e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h3,last_value_seas_ok,holdout,mase,0.129378,0.3314,series=op_in; mae=8.297e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h3,last_value_seas_ok,holdout,smape,0.660017,0.3314,series=op_in; mae=8.297e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h3,hist_mean_seas_ok,holdout,mase,0.126911,0.3314,series=op_in; mae=8.139e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h3,hist_mean_seas_ok,holdout,smape,0.888801,0.3314,series=op_in; mae=8.139e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h3,seasonal_naive_12_seas_ok,holdout,mase,0.151003,0.3314,series=op_in; mae=9.684e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_in_h3,seasonal_naive_12_seas_ok,holdout,smape,0.952675,0.3314,series=op_in; mae=9.684e+05; scale=6.413e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h1,last_value_seas_ok,holdout,mase,0.0293974,0.2837,series=liq; mae=2.052e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h1,last_value_seas_ok,holdout,smape,0.493061,0.2837,series=liq; mae=2.052e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h1,hist_mean_seas_ok,holdout,mase,0.0644211,0.2837,series=liq; mae=4.496e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h1,hist_mean_seas_ok,holdout,smape,0.760405,0.2837,series=liq; mae=4.496e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h1,seasonal_naive_12_seas_ok,holdout,mase,0.0946568,0.2837,series=liq; mae=6.607e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h1,seasonal_naive_12_seas_ok,holdout,smape,0.871115,0.2837,series=liq; mae=6.607e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h3,last_value_seas_ok,holdout,mase,0.0432135,0.3314,series=liq; mae=3.016e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h3,last_value_seas_ok,holdout,smape,0.635327,0.3314,series=liq; mae=3.016e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h3,hist_mean_seas_ok,holdout,mase,0.0710364,0.3314,series=liq; mae=4.958e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h3,hist_mean_seas_ok,holdout,smape,0.792592,0.3314,series=liq; mae=4.958e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h3,seasonal_naive_12_seas_ok,holdout,mase,0.0946568,0.3314,series=liq; mae=6.607e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,-,y1_liq_h3,seasonal_naive_12_seas_ok,holdout,smape,0.871115,0.3314,series=liq; mae=6.607e+05; scale=6.98e+06; support=seasonal_ok
2026-09-19T00:08,R1,2,d0748ae4,C,y2_neg_2of3,single_c_n_tx_trainpick,holdout,auroc,0.415363,1.0000,selected on train; sign=+; train_auc=0.6007
2026-09-19T00:08,R1,2,d0748ae4,A,y2_neg_2of3,single_a_n_tx_trainpick,holdout,auroc,0.415363,1.0000,selected on train; sign=+; train_auc=0.6007
2026-09-19T00:08,R1,2,d0748ae4,C,y2_neg_2of3,single_c_gap_sd_trainpick,holdout,auroc,0.344854,0.9650,selected on train; sign=-; train_auc=0.5848
2026-09-19T00:08,R1,2,d0748ae4,A,y2_neg_2of3,single_a_in12_trainpick,holdout,auroc,0.214689,0.2124,selected on train; sign=+; train_auc=0.5793
